,Date,Tweets,Prices
56,2014-01-05,AAPL Machinists vote helps Boeing avoid hiring crunch httptcocHGrAD2M6z,19.0
57,2014-01-05,jimcramer jimthe greatPeter Ghostine has predicted 425 for AAPL what says u TARGET  425 httptcol5m13Pr1Oo,19.0
58,2014-01-06,AAPL filled overnight gap now attempting to shift closing level to support httptco3FV8IgdYSp,19
59,2014-01-06,AAPL How Quickly Will Windows and Office Die httptcofFJMUSK2wm,19
60,2014-01-06,RT StreetInsider Standpoint Research Downgrades Apple AAPL to Sell for Moral Reasons httptcozHfEOy4hQD,19
61,2014-01-06,AAPL QUALCOMM Inc  Industry Analyst Jeff Kagan on Apple iWatch Smartwatch  httptco1WlhA0BXbc,19
62,2014-01-06,Dirty Secrets Apple Doesnt Want You To KnowhttptcoY6jYFdJ0CrAAPL FB TWTR TSMA Finance apple,19
63,2014-01-06,SPX CIT Dates AAPL Breaking Key Support Levels httptcoqLNVHDPCwS,19
64,2014-01-06,AAPL video Asian Stocks Down Liberty Poised to Acquire Sirius XM httptcox3D8Fm0u7d,19
65,2014-01-06,did AAPL find a bottom premarket heard lots of sub 500 chatter last week both sides have a good argument for now,19
66,2014-01-06,RT andrewunknown andrewnyquist Posted this AAPL chart over the weekend  Nearing important technical support confluence httptco0,19
67,2014-01-06,AAPL  Nice momentum Some short covering will happen that can push it up,19
68,2014-01-06,RT Benzinga January Effect On Markets Appears Delayed AA AAPL BAC  httptco47Yca41J9v,19
69,2014-01-06,T3Live httptcon0WxM71pCm Downgraded AAPL Looks for New Footing FXI SPX BAC C TWTR FB RedDogT3Live BrittanyUmar,19
70,2014-01-06,AAPL Apples Products May Get Curved Displays From Corning httptcolmi1iWYsyX,19
71,2014-01-06,Lets see how strong this AAPL move is It can get as high as 550 in the next couple days,19
72,2014-01-06,In it  to win it MU puts working AAPL long working SAN sitting In it  to win it httptcouIeGP5NAMw,19
73,2014-01-06,Wall Street vs AAPL in ninebarcharts httptcoPmAe5INF9z AAPL,19
74,2014-01-06,RT SteveTappin 9 Bar Charts Apple vs Amazon vs Google httptcoUKCzOEDV2f AMZN GOOG Only market sentiment killing AAPL CEO,19
75,2014-01-06,AAPL Intel Has A Shot At Winning Apple httptcoddVWUyaS7J,19
76,2014-01-06,No Steve Jobs but could argue Steve Jobs is not who you want to lead company at this stage To early to know dasan ineffective CEO AAPL,19
77,2014-01-06,AAPL resistance is strong at 5455,19
78,2014-01-06,Updated Report for AAPL via SeekingAlpha  httpstcog6LvQpb70D  httptcoCPQfBkt2Vu,19
79,2014-01-06,Focus list SCTY MNKD P ARIA MGM FSLR MU AAPL JASO FB CELG SOL GRPN CAMT ABT,19
80,2014-01-06,AAPL rg amp V important reversal on daily here This is a big technical defense,19
81,2014-01-07,RT WSJ Sales at Apples App Store topped 10 billion in 2013 Nearly 3 billion apps downloaded in December httptcoXTAiLFlOcT AAPL,19
82,2014-01-07,Wait for itAAPL,19
83,2014-01-07,AAPL  Interesting April Stock Options For AAPL gt httptcoq51I2WLJqF stock stocks stockaction,19
84,2014-01-07,Apple AAPL says App Store sales top USD 10bln in 2013 stocks,19
85,2014-01-07,Link bait Forbes Is Apple worth 12000 a share httptcoQrOMLmTm0i AAPL,19
86,2014-01-07,RT WSJD Sales at Apples App Store topped 10 billion in 2013 Nearly 3 billion apps downloaded in December httptcowwRQh3Viqe AAPL,19
87,2014-01-07,AAPL  Insights From A Smart House Innovator gt httptcoNlJ2v3H3Nh stock stocks stockaction,19
88,2014-01-07,GOOG will be a 2000 stock by yearend 15 Cant wait for the first 2k price target AAPL will be a 1000 stocknever,19
89,2014-01-07,RT StockTwits Apples App Store earns more money in one year thanFacebookMasterCardNetflixAutoZonegt httptcoQlLTDTFt2q AAPL,19
90,2014-01-07,Who the fuck is selling AAPL,19
91,2014-01-07,EXPstocktrader New post httptcoHc9FQVdWl1 AAPL ARIA NQ SSH RMTI WLT Good read,19
92,2014-01-07,RT Amazonomics Oh the irony Hilariously superb AAPL httptcoEqXWk0l1x0,19
93,2014-01-07,RT maxjcm US smpartphone penetration 683 up 3 AAPL 412 up 05 from August Samsung 26 share up 17 points end Nov httpt,19
94,2014-01-07,JaKeChuPick Out half AAPL 540 puts for 2727 same,19
95,2014-01-07,If you wanna sell in China better use Chinese channels AAPL opens store on Alibabas Tmall httptcoi0cCjCgSOf,19
96,2014-01-07,AAPL I love my iPad bc no virus and I am protected by Apple Android is open source and full of virus etc I dont want it in my car,19
97,2014-01-07,RT DeidreZune Samsung lowers guidance on same day Micael Bay walks off stage at CES promotional event  Need to copy AAPL choreography,19
98,2014-01-07,RT SeekingAlpha Build A Mini LongShort Portfolio With These 6 HighPriced Shares httptcoJ5ta6cvi98 AAMC AAPL AMZN BRKA TPRP ,19
99,2014-01-07,RT ValaAfshar Why 2014 could be the most interesting year in technology in a long time httptcoNsFlq9imIz AAPL,19
100,2014-01-07,AAPL video How Much Does the App Store Mean to Apple httptcoUuQ4kj4Syl,19
101,2014-01-07,AAPL Samsung to report profit decline as phone sales lag httptcoxIxfXlSII8,19
102,2014-01-07,FSLR AAPL MU C MA YOKU SD MRK V Active equity options trading on open Full Story httptcovLwV2vz756,19
103,2014-01-07,AAPL lows of the day  httptcoBIMpdEfg2P httptco8YzhXOkrhI,19
104,2014-01-07,AAPL seeing potential to hold a higher low above yests LOD amp if so 55051 is 1st key trgt 551  grind in2 earnings 540  536 then 529,19
105,2014-01-07,CNBC Apple reports 10 billion worth of apps sold in 2013 httptco8IByyOJOka AAPL crazy,19
106,2014-01-07,AAPL  834 am Apple announces App store sales topped 10 billion in 2013 gt httptcoXtboXHVHZl stock stocks stockaction,19
107,2014-01-07,Apple AAPL Is Rich Fat amp Happy httptcos4URjX1XvC,19
108,2014-01-07,SSNLF estimates greaterthanexpected decline in profits amp sales amid stiff competition httptcozNeaXB5KOR AAPL,19
109,2014-01-07,You know you want itdont be a hater P iPhone7 YouSawItHereFirst AAPL httptco0eBzP3EMFC,19
110,2014-01-07,RT CNBC Apple reports 10 billion worth of apps sold in 2013 httptcoF7UpW2lUqJ AAPL,19
111,2014-01-08,RT NewsBreaker 10 BILLION Apple says customers spent 10000000000 on apps in 2013  httptcolrm788aDlb  AAPL,19
112,2014-01-08,Big day for AAPL testing 50day EMA and channel support httptcoHV7Jkcwsus,19
113,2014-01-08,Trading Off the Value of Apples Music Monopoly httptcoOr3daVbf3b  AAPL iTunes iPod,19
114,2014-01-08,AAPL App Store sales gt 10 billion httptcoztY6fLydaj digital iphone ipad mac revenue profit growth tech LoB iTunes usa,19
115,2014-01-08,Great stuff guys RedDogT3Live T3Live httptcoNZ84TWpLAe Morning Call Express GOOG AAPL TWTR FB BAC C TSLA BrittanyUmar,19
116,2014-01-08,New Deal New Stores Apples Plan for China httptcoIYZLLMQc9l via wallstCS AAPL,19
117,2014-01-08,AAPL Apples iPhone Gets Cheaper in China httptco0PjiRIaH7k,19
118,2014-01-08,AAPL over 54686 I go long if happens today,19
119,2014-01-08,AAPL  video Typo the iPhone cover with a keyboard gt httptcoIksC04FVKT stock stocks stockaction,19
120,2014-01-09,AAPL  MARKET SNAPSHOT SampP 500 Ekes Out Gains But Dow Nasdaq Drop httptco1ZcgYVelIq,19
121,2014-01-09,AAPL  Predicting Pandoras Earnings gt httptcomWkIZOvHNg stock stocks stockaction,19
122,2014-01-09,AAPL may be worth a L but just for a bounce here,19
123,2014-01-09,Apple Inc AAPL Moderately down lost over 3 Early Buzzers Apple Inc LinkedIn Corp Micron Technology TASE  httptco1s7ICv49AU,19
124,2014-01-09,Very pleased that Im still holding my BIDU runners  Long AMZN AAPL Short CME,19
125,2014-01-09,RT misterx GOOG nearly a 400b company Yet no one is concerned by its size like AAPL It can supposedly keep growing at these rate,19
126,2014-01-09,BlackBerrys Funeral May Have To Wait It Seems To Have Returned From The Dead BBRY  AAPL httptcowLbLx9YXsa,19
127,2014-01-09,AAPL please help me understand the mathBillions in holiday sales china mobile itv iwatch iPad pro ihome iPhone air  And its a sell,19
128,2014-01-09,AAPL adding here If you trimmed in the 570s you have been waiting  for this pullback,19
129,2014-01-10,AAPL Chart of the Day Tracking iPhone iPod sales  httptco3dFESfzSGr httptco9RPf87PH7t,19
130,2014-01-10,AAPL   Appeals Court Backs Apple in Patent Case gt httptcoh9ezzypDXh stock stocks stockaction,19
131,2014-01-10,AAPL Apple Inc  Is marketplace ahead of your strategy Apple Inc  Is marketplace ahead of your strategy httptcoLmacN08H6N,19
132,2014-01-10,7 years seems like 7 months AAPL,19
133,2014-01-10,AAPL This is the most painful stock to play in the options mkt HANDS DOWN,19
134,2014-01-10,AAPL right on schedule less than a 1 from giving back all of the premtk upside,19
135,2014-01-10,AAPL now testing the 532 breakout level from the base that it built back in OctNov This breakout sparked by CM deal rumors,19
136,2014-01-10,RT MarketCurrents Apple roundup Bigger iPhones carrier subsidies US Mac sales httptcobSLZEai8Ji AAPL,19
137,2014-01-10,AAPL urges vote against Icahn proposal Human Rights Board committee proxy access httptcoYcc7X647DE corpgov ESG see my comments,19
138,2014-01-10,Looking at my 2013 options trades My most profitable trade was 469 AAPL weekly call Havent had anything come close that  since then,19
139,2014-01-10,The line outside 1 AAPL store in Hong Kong for the Red Friday sale  s look good Chart does not Priced in httptcoxRgrczHVMP,19
140,2014-01-10,Bad sales at SHLD SNE streaming games AAPL streaming everythingAMZN selling everything Should anyone own BBY here jimcramer,19
141,2014-01-10,AAPL Apple Inc AAPL Apples A8  What It Will Be And Why It Matters httptcoCsholbR7Sh,19
142,2014-01-10,AAPL   excellent short on my part  mentioned earlier I dont always mention intraday trades to busy,19
143,2014-01-10,Is Apple Working on a HomeBased Media Server httptcojD2UremJUm via wallstCS AAPL mediaserver patent,19
144,2014-01-10,AAPL iPhones 7th anniversary  the handset in numbers  httptcots0gltqfdh httptcoDof69LyOpJ,19
145,2014-01-10,AAPL Apple Inc AAPL Apples A8  What It Will Be And Why It Matters httptcoteH7J03Wjl,19
146,2014-01-10,AAPL Samsung Galaxy S5 Spec News 2014 Will Apple Release A Larger Screen   Crossmap httptcoj1p3CYPUfG,19
147,2014-01-10,RT CNNMoney Shoppers rush into Apples AAPL Hong Kong store drawn by its secondannual Asian Red Friday sale httptcoR7drf7qtGg,19
148,2014-01-10,woh doctor YahooFinance Apple reports 1 billion app sales in December 10 billion for 2013 httptcoSXyXev1pjJ AAPL,19
149,2014-01-10,Appeals Court Apples iPhone Does Not Infringe on Motorolas Patent httptcoPyX5kGNgah  AAPL GOOG,19
150,2014-01-10,RT chessNwine NEW POST Stock Market Recap 010914 httptcoFWuKmcRxdu AAPL CMG FB iWM NFLX QQQ SPY TSLA,19
151,2014-01-10,Pfizer hopes an iPad game can detect Alzheimers httptcoBwzEPY8ivi  PFE AAPL,19
152,2014-01-10,petenajarian PetesAssistant CNBCFastMoney AAPL trading at same multiple as MSFT  this is purely stupid,19
153,2014-01-10,AAPL Apple Must Fix These Issues to Reach New Highs  DailyFinance httptcoM7pb3E7GfR,19
154,2014-01-10,CNNMONEYShoppers rush into Apples AAPL Hong Kong store drawn by its secondannual Asian Red Friday sale httptco2u1jD5wCP2,19
155,2014-01-11,AAPL Apple to open new store in Brisbane CBD  Courier Mail httptco50ywv65Cfj,19.0
156,2014-01-11,AAPL Apples iBeacon Technology Brings New Possibilities for LocationBased Gaming  Mac Rumors httptco2VzQgfyLgH,19.0
157,2014-01-11,AAPL  Chinese Smartphone Insurgents Take Aim at Global Share httptco4B6yzr6gRI,19.0
158,2014-01-11,RT BenedictEvans A candidate for best financial news headline of 2013 httptcogqmE8Dp0B5 AAPL,19.0
159,2014-01-11,AAPL   Ford Steps on the Gas gt httptcot5TYv9SeLL stock stocks stockaction,19.0
160,2014-01-11,AAPL To anyone with a long enough time horizon I would recommend buying the fear on the next big dip Stock about to start growing in Q2,19.0
161,2014-01-12,AAPL Whats Behind The Swift Rise In Apple Stock httptcoguXNuesHHy,19.0
162,2014-01-12,RT SupremeSees OXBT Monday Gapper httptcoOnrTjg9Zqd PHOT FNMA TWTR GOOG AAPL FB daytrading pennystocks daytradealerts tr,19.0
163,2014-01-12,Apple Inc AAPL Whats Behind The Swift Rise In Apple Stock AAPL httptcopeS16KKOIO,19.0
164,2014-01-12,Disruptive innovation AAPL HPQ GRMN httptcohviYuNtGqx,19.0
165,2014-01-13,Aaplpain AAPL catching a bid on a Monday I am hugely surprised s,19
166,2014-01-13,AAPL My 2 Bits On 64Bits And Apples Strong Q1 Outlook  SeekingAlpha httptcozvZToYOACH,19
167,2014-01-13,AAPL DIALOG SEMICON ORD DLGNF Apple Cirrus Logic rally after iPhoneiPad   Seeking Alpha httptcoCUbCUfSH9I,19
168,2014-01-13,RT stockgarage Watchlist for Monday httptcoYVDt268G2x  ELTP TSLA AAPL FNMA MUX CTSO,19
169,2014-01-13,AAPL Three things the press gets wrong about Apple in China httptcoddHtiPYhgE,19
170,2014-01-13,AAPL TWTR FlightToSafety httptco8oo8ZKUJdn,19
171,2014-01-13,Will AAPL hold 534 here,19
172,2014-01-13,NQf is down 50 handles with AAPL green,19
173,2014-01-13,AAPL GOOG NFLX SHLD FB ISRGNRP 1660  6Put 16 feb,19
174,2014-01-13,Great question Missed opportunity MT om Why did AAPL not try and bring tfadell home  Anyone got theories nest GOOG,19
175,2014-01-13,Short side GCF AAPL all miners,19
176,2014-01-13,AAPL chart by FibLine httptco5O7JfxOSvD AAPL,19
177,2014-01-13,Google Set To Challenge Microsoft And Apple In The Connected Car Market GOOG  AAPL MSFT httptco69bOo5V2iz,19
178,2014-01-13,RT RedDogT3Live rdr in AAPL was good for 10 points Action area was 53111 still long some even a decent bull flag continuation trade,19
179,2014-01-13,AAPL  Wireless Charging Is The MustHave Feature for Apples iWatch gt httptcoTHjCAUqXXQ stock stocks stockaction,19
180,2014-01-13,RT businessinsider Google Just Hired The Guy Who Designed The iPod AAPL GOOG by nichcarlson httptcofGE7zXnrZr,19
181,2014-01-14,AAPL SINA MTOR FDML VIV SAN TEF ORAN STEM My bets for 2014 Thanks for the pullback yesterday,19
182,2014-01-14,Rumor Apple to reintroduce 8GB iPhone 4 to curb flagging India sales AAPL aapl httptcocfDAMuESxR,19
183,2014-01-14,Forgive me but Gundlach calling the next 10 move in AAPL is not very exciting,19
184,2014-01-14,AAPL Hide your iThings Apple devices top charts among NYC pickpockets  VentureBeat httptcoxCr3HMM8id,19
185,2014-01-14,AAPL  People Will Never Stop Drinking Wisdom of Jim Beam Deal gt httptcoMnXtfqTwMT stock stocks stockaction,19
186,2014-01-14,AAPL  MARKET SNAPSHOT US Stocks Rise After Retail Sales Top Forecasts httptcoGsfCMh0ANz,19
187,2014-01-14,Just voted FOR Icahns resolution mostly because I think the stock is at a potential LT inflection point AAPL,19
188,2014-01-14,Whats Behind The Swift Rise In Apple Stock httptcobOgBtzkq6U AAPL,19
189,2014-01-14,AAPL Plans to reintroduce entrylevel iPhone in India,19
190,2014-01-14,AAPL Walmart arson iPad theft caught on tape  WOODTV httptcoV1TRzIHuqD,19
191,2014-01-14,AAPL theres 546 Nice,19
192,2014-01-14,AAPL Four Apple Stories From Monday You May Have Missed  Benzinga httptco0ThphoUb0x,19
193,2014-01-14,UP     54639 1066 199 AAPL stocks ,19
194,2014-01-14,AAPL Google Takes A Cue From The Apple Playbook With Nest httptcojNFkGM9EYW,19
195,2014-01-14,AAPL Go long Apple if it can break the 60 minute downtrend line That will confirm it is holding bottom of channel httptcoQPJHPvHtDh,19
196,2014-01-14,AAPL  Gundlach on Gold Heading at Least to 1350 Owns Gold Miners gt httptco7ri8XVhvcx stock stocks stockaction,19
197,2014-01-14,AAPL Secretive Apple Squirms in Gaze of US Monitor httptcoea7WMoU3aQ,19
198,2014-01-14,RT MikeTsangaris I agree with RoccoTheStreet on this Sorry But This Guy is a Total Idiot on Apple httptcoH0IbC2LYAX AAPL GOOG,19
199,2014-01-14,GOOG  nest price tag equates to lt1 move in GOOG stock 2x YouTube price tag lt10 of GOOGs cash on hand AAPL has 3x as much cash,19
200,2014-01-14,Fibonacci Technical Levels  AMZN AAPL FB GOOG httptcovg3wjeoZU2,19
201,2014-01-14,AAPL 172 supera segunda resistencia diaria de 543,19
202,2014-01-14,AAPL highs of the daynice comeback from yesterday,19
203,2014-01-15,Apple Inc AAPL To Report Strong Q1 Results And Q2 Guidance AAPL httptcom3bhO8u7ab,19
204,2014-01-15,RT AAPLtrader I would like to see AAPL close over 55000 today to be convinced,19
205,2014-01-15,AAPL  MARKET SNAPSHOT US Stocks Extend Rebound Pushing SampP 500 To Record httptcoeClnBWTZSX,19
206,2014-01-15,China Mobile Is Receiving 60000 iPhone PreOrders Per Day AAPL aapl   httptcoY7nvxBHpY9,19
207,2014-01-15,AAPL  Apple Will Pit Qualcomm Against Intel gt httptco1uWQtdm4Hd stock stocks stockaction,19
208,2014-01-15,AAPL Looking for talented traders with strategies and techniques to present httptcolDdMFAVQ9h httptcoiAwGeKETWk,19
209,2014-01-15,FTC fines  AAPL after Soupy Sales like behavior Send me the little green papers in mommys purse httptcoEabffm5QY3,19
210,2014-01-15,AAPL  Cantor Fitzgerald Shows Best Global Equity Research Ideas for 2014 gt httptconrN8JkbCcg stock stocks stockaction,19
211,2014-01-15,AAPL  MARKET SNAPSHOT US Stocks Rise On Strong B Of A Results Data httptco7dibzIWWnz,19
212,2014-01-15,LOL AAPL FTC settlement 325m  Apple makes 101 million  PER DAY  8 hours worth of work,19
213,2014-01-15,RT puiwingtam Google outspends top 5 rivals combined  AAPL FB MSFT YHOO AMZN  in deals push with Nest just the latest http,19
214,2014-01-15,AAPL commentary in MrTopStep Opening print   httptcoS10F7ct7CV,19
215,2014-01-15,RT CallaLilly101 so todays AAPL news was not exciting come on come onits about doing a lot of business for the you know money,19
216,2014-01-15,RT WSJ Apple will refund a minimum of 325 million to settle complaint over app charges httptcouFqC95Wqnd AAPL,19
217,2014-01-15,AAPL  TECH STOCKS Apple Leads Tech Rally 3D Printer Stocks Fall httptcos1NaB0yt9q,19
218,2014-01-15,MelissaLeeCNBC The guys right AAPL should close down and leave the country That would help those workers,19
219,2014-01-15,RT philstockworld Balls to the Wall Wednesday  The Bull is Back  TSLA AAPL SPY DIA TM F  httptcoPwhWrWrPwu,19
220,2014-01-15,Bullish stocks today CHTP TSLA DRWI AMRN AAPL money makers,19
221,2014-01-15,APPLE Intraday Comments   Update on First CHL Resistance    AAPL aapl httptcoScKqfmsytO,19
222,2014-01-15,AAPL Expect Solid Results and Guidance from Apple AAPL  Jefferies Estimates Raised httptcogad5fYcHZe via StreetInsider,19
223,2014-01-15,AAPL slapped for inapp purchases targeting kids RT philiped Apples kiddie app deal stirs controversy at the FTC httptcoJ3lyU21lNH,19
224,2014-01-15,RT philstockworld Webcast replay Our 3 Top Trades for 2014  Last year was  AAPL CIM and TSLA which one repeated  Profits https,19
225,2014-01-15,Osborne820 AAPL uh oh new HOD coming Could be Looks like CNBC attempt at derailing it failed miserably,19
226,2014-01-15,AAPL stock content charts analysis amp more    Free    httptcopAvTxpSYhz,19
227,2014-01-15,Far be it from me to proclaim allconquering iPhone success on China Mobile lets be clear China mkt not US But it could surprise AAPL,19
228,2014-01-15,RT CarlCIcahn Gave AAPL notice well be making a precatory proposal to call for vote to increase buyback program although not at 150,19
229,2014-01-15,RT KingstonTrader AAPL has got it mojo back,19
230,2014-01-15,RT 44ld As va este largo en la accin de Apple AAPL 210 pips por anlisis tcnico Etrading InversionOptima AreaTrader httptco,19
231,2014-01-15,AAPL China Mobile Chairman iPhone presales are in the MILLIONS httptcoh20iHEhkVz,19
232,2014-01-15,AAPL   Charts Bulls Still Rule gt httptcojYM71zPp3A stock stocks stockaction,19
233,2014-01-15,RT LizRappaport Advantage parents Apple to pay 325 mln to settle case over kids buying stuff their parents didnt approve AAPL http,19
234,2014-01-15,Stock futures gaining this morning httptcoZlHZZDIOYL via MarketWatch BAC AAPL,19
235,2014-01-15,RT paulmozur Tim Cook AAPL had record iPhone sales in Greater China in quarter ending Dec on early launch of iPhone in China httptc,19
236,2014-01-15,Theres a cornucopia of R between 51445637 then 60 6340 6758 AAPL,19
237,2014-01-15,AAPL ADBE AKAM Video of ABC Bullish Patterns Jan 14 2014 httptcosRWfPVZ0Ex,19
238,2014-01-15,RT jimcramer Fibonacciqueen dead right on AAPLtotal break out,19
239,2014-01-15,The AAPL  China Mobile deal is way less important than Cramer thinks,19
240,2014-01-16,Daily dose of Stata Downloading intraday prices NASDAQ httptcoxJhvi9Glax AAPL,19
241,2014-01-16,AAPL Apples objections show why ebook monitor is needed judge httptcoo6lQPN8nzT,19
242,2014-01-16,RT KeithMcCullough 1 AAPL ripping an important move back above yesterdays breakout line new risk range  542565,19
243,2014-01-16,AAPL Apple Agrees to FTC Terms Over InApp Purchases With 32 Million Settlement  Mac Rumors httptcoOVkfO4yNV0,19
244,2014-01-16,RT philstockworld Balls to the Wall Wednesday  The Bull is Back  TSLA AAPL SPY DIA TM F  httptcoPwhWrWrPwu,19
245,2014-01-16,AAPL  video Apple Technicals trump technology gt httptcoyHAFbcv3B3 stock stocks stockaction,19
246,2014-01-16,AAPL New Apple China Mobile deal goes beyond iPhones  New York Post httptco9bEgIn5nXE,19
