,Date,Tweets,Prices,Comp,Negative,Neutral,Positive,target
42,2014-01-03,RT SAI GOOGLES DIRTY SECRET Android Phones Are Basically Used As Dumbphones AAPL GOOG by JimEdwards httptcoyTDfXnikau,19.320715,-0.5622,0.185,0.815,0.0,0
43,2014-01-03,RT takingstock614 Also added AAPL common here w 541 stop,19.320715,-0.296,0.216,0.784,0.0,0
44,2014-01-03,AAPL Apple Sale Best Buy Temporarily Cuts iPhone 5S Price httptcoivaGEpfuqa,19.320715,0.4588,0.143,0.584,0.273,2
45,2014-01-03,AAPL was below this level two weeks ago and then jumped to 570 the following week CHL news Earnings run up will be next catalyst,19.320715,0.0,0.0,1.0,0.0,1
46,2014-01-03,The FiveYearOld iPad When Will People Stop UpgradingAAPL aapl  httptcoVv0WElpTs2,19.320715,-0.296,0.196,0.804,0.0,0
47,2014-01-03,RT philstockworld Our Top 3 Trade Ideas for 2014 and Two 1000 Futures Wins Already in the Bank GLD USO AAPL  httptcoNlmUMm2iiH,19.320715,0.6705,0.0,0.776,0.224,2
48,2014-01-03,RT LouisvilleWhale Trimmer3098 What I like about AAPL long term is its 95 PE excash gives it a floor on valuation Only hi quality s,19.320715,0.3612,0.0,0.894,0.106,2
49,2014-01-04,AAPL  Boeing contract with machinists  details of agreement gt httptcolITCQxFPEw stock stocks stockaction,19.373393,0.6486,0.0,0.675,0.325,2
50,2014-01-04,ClayTrader   AAPL Video Chart 1314   ClayTrader httptcopgdM0CoEjP,19.373393,0.0,0.0,1.0,0.0,1
51,2014-01-04,RT ValaAfshar January 3 1977  Steve Jobs and Steve Wozniak incorporated Apple Computer Company AAPL,19.373393,0.0,0.0,1.0,0.0,1
52,2014-01-04,Apple iWatch reportedly already in production httptcop55qscXlNC IBDBlogs via IBDinvestors  AAPL QCOM SNE NKE,19.373393,0.0,0.0,1.0,0.0,1
53,2014-01-04,Apple Stock Forecast Playing AAPL  SampP 500 Spread As Market Neutral Strategy   httptcocIYXfTMZTkSPY,19.373393,0.2023,0.0,0.87,0.13,2
54,2014-01-05,RT StockTwits Here are the 100 most popular and most trending stocks of the last year httptcojpg5ydFnv8 SPY FB AAPL,19.373393,0.4754,0.0,0.86,0.14,2
55,2014-01-05,AAPL  Forecasting Apple Using EvidenceDriven Technical Analysis Subscribers Only TARGET  425 httptcoVSGZNLCC5P,19.373393,0.0,0.0,1.0,0.0,1
56,2014-01-05,AAPL Machinists vote helps Boeing avoid hiring crunch httptcocHGrAD2M6z,19.373393,0.1027,0.186,0.593,0.22,2
57,2014-01-05,jimcramer jimthe greatPeter Ghostine has predicted 425 for AAPL what says u TARGET  425 httptcol5m13Pr1Oo,19.373393,0.0,0.0,1.0,0.0,1
58,2014-01-06,AAPL filled overnight gap now attempting to shift closing level to support httptco3FV8IgdYSp,19.426071,0.4019,0.0,0.816,0.184,2
59,2014-01-06,AAPL How Quickly Will Windows and Office Die httptcofFJMUSK2wm,19.426071,-0.5994,0.328,0.672,0.0,0
60,2014-01-06,RT StreetInsider Standpoint Research Downgrades Apple AAPL to Sell for Moral Reasons httptcozHfEOy4hQD,19.426071,0.0,0.0,1.0,0.0,1
61,2014-01-06,AAPL QUALCOMM Inc  Industry Analyst Jeff Kagan on Apple iWatch Smartwatch  httptco1WlhA0BXbc,19.426071,0.0,0.0,1.0,0.0,1
62,2014-01-06,Dirty Secrets Apple Doesnt Want You To KnowhttptcoY6jYFdJ0CrAAPL FB TWTR TSMA Finance apple,19.426071,-0.4805,0.273,0.727,0.0,0
63,2014-01-06,SPX CIT Dates AAPL Breaking Key Support Levels httptcoqLNVHDPCwS,19.426071,0.4019,0.0,0.748,0.252,2
64,2014-01-06,AAPL video Asian Stocks Down Liberty Poised to Acquire Sirius XM httptcox3D8Fm0u7d,19.426071,0.6597,0.0,0.649,0.351,2
65,2014-01-06,did AAPL find a bottom premarket heard lots of sub 500 chatter last week both sides have a good argument for now,19.426071,0.1027,0.107,0.769,0.124,2
66,2014-01-06,RT andrewunknown andrewnyquist Posted this AAPL chart over the weekend  Nearing important technical support confluence httptco0,19.426071,0.5423,0.0,0.757,0.243,2
67,2014-01-06,AAPL  Nice momentum Some short covering will happen that can push it up,19.426071,0.4215,0.0,0.811,0.189,2
68,2014-01-06,RT Benzinga January Effect On Markets Appears Delayed AA AAPL BAC  httptco47Yca41J9v,19.426071,-0.2263,0.147,0.853,0.0,0
69,2014-01-06,T3Live httptcon0WxM71pCm Downgraded AAPL Looks for New Footing FXI SPX BAC C TWTR FB RedDogT3Live BrittanyUmar,19.426071,0.0,0.0,1.0,0.0,1
70,2014-01-06,AAPL Apples Products May Get Curved Displays From Corning httptcolmi1iWYsyX,19.426071,0.0,0.0,1.0,0.0,1
71,2014-01-06,Lets see how strong this AAPL move is It can get as high as 550 in the next couple days,19.426071,0.5106,0.0,0.852,0.148,2
72,2014-01-06,In it  to win it MU puts working AAPL long working SAN sitting In it  to win it httptcouIeGP5NAMw,19.426071,0.8225,0.0,0.691,0.309,2
73,2014-01-06,Wall Street vs AAPL in ninebarcharts httptcoPmAe5INF9z AAPL,19.426071,0.0,0.0,1.0,0.0,1
74,2014-01-06,RT SteveTappin 9 Bar Charts Apple vs Amazon vs Google httptcoUKCzOEDV2f AMZN GOOG Only market sentiment killing AAPL CEO,19.426071,-0.5719,0.199,0.724,0.077,0
75,2014-01-06,AAPL Intel Has A Shot At Winning Apple httptcoddVWUyaS7J,19.426071,0.5267,0.0,0.673,0.327,2
76,2014-01-06,No Steve Jobs but could argue Steve Jobs is not who you want to lead company at this stage To early to know dasan ineffective CEO AAPL,19.426071,-0.6987,0.253,0.747,0.0,0
77,2014-01-06,AAPL resistance is strong at 5455,19.426071,0.5106,0.0,0.602,0.398,2
78,2014-01-06,Updated Report for AAPL via SeekingAlpha  httpstcog6LvQpb70D  httptcoCPQfBkt2Vu,19.426071,0.0,0.0,1.0,0.0,1
79,2014-01-06,Focus list SCTY MNKD P ARIA MGM FSLR MU AAPL JASO FB CELG SOL GRPN CAMT ABT,19.426071,0.0,0.0,1.0,0.0,1
80,2014-01-06,AAPL rg amp V important reversal on daily here This is a big technical defense,19.426071,0.3182,0.0,0.769,0.231,2
81,2014-01-07,RT WSJ Sales at Apples App Store topped 10 billion in 2013 Nearly 3 billion apps downloaded in December httptcoXTAiLFlOcT AAPL,19.287144,0.0,0.0,1.0,0.0,1
82,2014-01-07,Wait for itAAPL,19.287144,0.0,0.0,1.0,0.0,1
83,2014-01-07,AAPL  Interesting April Stock Options For AAPL gt httptcoq51I2WLJqF stock stocks stockaction,19.287144,0.5859,0.0,0.676,0.324,2
84,2014-01-07,Apple AAPL says App Store sales top USD 10bln in 2013 stocks,19.287144,0.2023,0.0,0.859,0.141,2
85,2014-01-07,Link bait Forbes Is Apple worth 12000 a share httptcoQrOMLmTm0i AAPL,19.287144,0.4767,0.0,0.661,0.339,2
86,2014-01-07,RT WSJD Sales at Apples App Store topped 10 billion in 2013 Nearly 3 billion apps downloaded in December httptcowwRQh3Viqe AAPL,19.287144,0.0,0.0,1.0,0.0,1
87,2014-01-07,AAPL  Insights From A Smart House Innovator gt httptcoNlJ2v3H3Nh stock stocks stockaction,19.287144,0.5859,0.0,0.652,0.348,2
88,2014-01-07,GOOG will be a 2000 stock by yearend 15 Cant wait for the first 2k price target AAPL will be a 1000 stocknever,19.287144,0.0,0.0,1.0,0.0,1
89,2014-01-07,RT StockTwits Apples App Store earns more money in one year thanFacebookMasterCardNetflixAutoZonegt httptcoQlLTDTFt2q AAPL,19.287144,0.0,0.0,1.0,0.0,1
90,2014-01-07,Who the fuck is selling AAPL,19.287144,-0.5423,0.412,0.588,0.0,0
91,2014-01-07,EXPstocktrader New post httptcoHc9FQVdWl1 AAPL ARIA NQ SSH RMTI WLT Good read,19.287144,0.4404,0.0,0.791,0.209,2
92,2014-01-07,RT Amazonomics Oh the irony Hilariously superb AAPL httptcoEqXWk0l1x0,19.287144,0.5994,0.098,0.569,0.333,2
93,2014-01-07,RT maxjcm US smpartphone penetration 683 up 3 AAPL 412 up 05 from August Samsung 26 share up 17 points end Nov httpt,19.287144,0.296,0.0,0.905,0.095,2
94,2014-01-07,JaKeChuPick Out half AAPL 540 puts for 2727 same,19.287144,0.0,0.0,1.0,0.0,1
95,2014-01-07,If you wanna sell in China better use Chinese channels AAPL opens store on Alibabas Tmall httptcoi0cCjCgSOf,19.287144,0.4404,0.0,0.847,0.153,2
96,2014-01-07,AAPL I love my iPad bc no virus and I am protected by Apple Android is open source and full of virus etc I dont want it in my car,19.287144,0.6886,0.102,0.686,0.212,2
97,2014-01-07,RT DeidreZune Samsung lowers guidance on same day Micael Bay walks off stage at CES promotional event  Need to copy AAPL choreography,19.287144,-0.128,0.067,0.933,0.0,0
98,2014-01-07,RT SeekingAlpha Build A Mini LongShort Portfolio With These 6 HighPriced Shares httptcoJ5ta6cvi98 AAMC AAPL AMZN BRKA TPRP ,19.287144,0.296,0.0,0.872,0.128,2
99,2014-01-07,RT ValaAfshar Why 2014 could be the most interesting year in technology in a long time httptcoNsFlq9imIz AAPL,19.287144,0.4576,0.0,0.842,0.158,2
100,2014-01-07,AAPL video How Much Does the App Store Mean to Apple httptcoUuQ4kj4Syl,19.287144,0.0,0.0,1.0,0.0,1
101,2014-01-07,AAPL Samsung to report profit decline as phone sales lag httptcoxIxfXlSII8,19.287144,0.128,0.168,0.629,0.203,2
102,2014-01-07,FSLR AAPL MU C MA YOKU SD MRK V Active equity options trading on open Full Story httptcovLwV2vz756,19.287144,0.4019,0.0,0.847,0.153,2
103,2014-01-07,AAPL lows of the day  httptcoBIMpdEfg2P httptco8YzhXOkrhI,19.287144,-0.2023,0.231,0.769,0.0,0
104,2014-01-07,AAPL seeing potential to hold a higher low above yests LOD amp if so 55051 is 1st key trgt 551  grind in2 earnings 540  536 then 529,19.287144,-0.2732,0.077,0.923,0.0,0
105,2014-01-07,CNBC Apple reports 10 billion worth of apps sold in 2013 httptco8IByyOJOka AAPL crazy,19.287144,-0.128,0.147,0.736,0.117,0
106,2014-01-07,AAPL  834 am Apple announces App store sales topped 10 billion in 2013 gt httptcoXtboXHVHZl stock stocks stockaction,19.287144,0.2732,0.0,0.89,0.11,2
107,2014-01-07,Apple AAPL Is Rich Fat amp Happy httptcos4URjX1XvC,19.287144,0.8074,0.0,0.451,0.549,2
108,2014-01-07,SSNLF estimates greaterthanexpected decline in profits amp sales amid stiff competition httptcozNeaXB5KOR AAPL,19.287144,0.4404,0.0,0.805,0.195,2
109,2014-01-07,You know you want itdont be a hater P iPhone7 YouSawItHereFirst AAPL httptco0eBzP3EMFC,19.287144,-0.3612,0.214,0.687,0.099,0
110,2014-01-07,RT CNBC Apple reports 10 billion worth of apps sold in 2013 httptcoF7UpW2lUqJ AAPL,19.287144,0.2263,0.0,0.872,0.128,2
111,2014-01-08,RT NewsBreaker 10 BILLION Apple says customers spent 10000000000 on apps in 2013  httptcolrm788aDlb  AAPL,19.409285999999998,0.0,0.0,1.0,0.0,1
112,2014-01-08,Big day for AAPL testing 50day EMA and channel support httptcoHV7Jkcwsus,19.409285999999998,0.4019,0.0,0.787,0.213,2
113,2014-01-08,Trading Off the Value of Apples Music Monopoly httptcoOr3daVbf3b  AAPL iTunes iPod,19.409285999999998,0.34,0.0,0.821,0.179,2
114,2014-01-08,AAPL App Store sales gt 10 billion httptcoztY6fLydaj digital iphone ipad mac revenue profit growth tech LoB iTunes usa,19.409285999999998,0.765,0.0,0.678,0.322,2
115,2014-01-08,Great stuff guys RedDogT3Live T3Live httptcoNZ84TWpLAe Morning Call Express GOOG AAPL TWTR FB BAC C TSLA BrittanyUmar,19.409285999999998,0.6249,0.0,0.785,0.215,2
116,2014-01-08,New Deal New Stores Apples Plan for China httptcoIYZLLMQc9l via wallstCS AAPL,19.409285999999998,0.0,0.0,1.0,0.0,1
117,2014-01-08,AAPL Apples iPhone Gets Cheaper in China httptco0PjiRIaH7k,19.409285999999998,0.0,0.0,1.0,0.0,1
118,2014-01-08,AAPL over 54686 I go long if happens today,19.409285999999998,0.0,0.0,1.0,0.0,1
119,2014-01-08,AAPL  video Typo the iPhone cover with a keyboard gt httptcoIksC04FVKT stock stocks stockaction,19.409285999999998,0.2732,0.0,0.851,0.149,2
120,2014-01-09,AAPL  MARKET SNAPSHOT SampP 500 Ekes Out Gains But Dow Nasdaq Drop httptco1ZcgYVelIq,19.161428,0.0772,0.135,0.71,0.155,2
121,2014-01-09,AAPL  Predicting Pandoras Earnings gt httptcomWkIZOvHNg stock stocks stockaction,19.161428,0.2732,0.0,0.792,0.208,2
122,2014-01-09,AAPL may be worth a L but just for a bounce here,19.161428,0.1154,0.0,0.847,0.153,2
123,2014-01-09,Apple Inc AAPL Moderately down lost over 3 Early Buzzers Apple Inc LinkedIn Corp Micron Technology TASE  httptco1s7ICv49AU,19.161428,-0.3182,0.126,0.874,0.0,0
124,2014-01-09,Very pleased that Im still holding my BIDU runners  Long AMZN AAPL Short CME,19.161428,0.4927,0.0,0.803,0.197,2
125,2014-01-09,RT misterx GOOG nearly a 400b company Yet no one is concerned by its size like AAPL It can supposedly keep growing at these rate,19.161428,0.25,0.08,0.766,0.153,2
126,2014-01-09,BlackBerrys Funeral May Have To Wait It Seems To Have Returned From The Dead BBRY  AAPL httptcowLbLx9YXsa,19.161428,-0.7783,0.312,0.688,0.0,0
127,2014-01-09,AAPL please help me understand the mathBillions in holiday sales china mobile itv iwatch iPad pro ihome iPhone air  And its a sell,19.161428,0.7717,0.0,0.712,0.288,2
128,2014-01-09,AAPL adding here If you trimmed in the 570s you have been waiting  for this pullback,19.161428,0.0,0.0,1.0,0.0,1
129,2014-01-10,AAPL Chart of the Day Tracking iPhone iPod sales  httptco3dFESfzSGr httptco9RPf87PH7t,19.033571,0.0,0.0,1.0,0.0,1
130,2014-01-10,AAPL   Appeals Court Backs Apple in Patent Case gt httptcoh9ezzypDXh stock stocks stockaction,19.033571,0.2263,0.084,0.769,0.147,2
131,2014-01-10,AAPL Apple Inc  Is marketplace ahead of your strategy Apple Inc  Is marketplace ahead of your strategy httptcoLmacN08H6N,19.033571,0.0,0.0,1.0,0.0,1
132,2014-01-10,7 years seems like 7 months AAPL,19.033571,0.3612,0.0,0.615,0.385,2
133,2014-01-10,AAPL This is the most painful stock to play in the options mkt HANDS DOWN,19.033571,-0.2006,0.172,0.699,0.129,0
134,2014-01-10,AAPL right on schedule less than a 1 from giving back all of the premtk upside,19.033571,0.2815,0.0,0.859,0.141,2
135,2014-01-10,AAPL now testing the 532 breakout level from the base that it built back in OctNov This breakout sparked by CM deal rumors,19.033571,0.0,0.0,1.0,0.0,1
136,2014-01-10,RT MarketCurrents Apple roundup Bigger iPhones carrier subsidies US Mac sales httptcobSLZEai8Ji AAPL,19.033571,0.0,0.0,1.0,0.0,1
137,2014-01-10,AAPL urges vote against Icahn proposal Human Rights Board committee proxy access httptcoYcc7X647DE corpgov ESG see my comments,19.033571,0.0,0.0,1.0,0.0,1
138,2014-01-10,Looking at my 2013 options trades My most profitable trade was 469 AAPL weekly call Havent had anything come close that  since then,19.033571,0.4927,0.0,0.873,0.127,2
139,2014-01-10,The line outside 1 AAPL store in Hong Kong for the Red Friday sale  s look good Chart does not Priced in httptcoxRgrczHVMP,19.033571,0.4404,0.0,0.873,0.127,2
140,2014-01-10,Bad sales at SHLD SNE streaming games AAPL streaming everythingAMZN selling everything Should anyone own BBY here jimcramer,19.033571,-0.5423,0.171,0.829,0.0,0
141,2014-01-10,AAPL Apple Inc AAPL Apples A8  What It Will Be And Why It Matters httptcoCsholbR7Sh,19.033571,0.0258,0.0,0.927,0.073,2
142,2014-01-10,AAPL   excellent short on my part  mentioned earlier I dont always mention intraday trades to busy,19.033571,0.5719,0.0,0.791,0.209,2
143,2014-01-10,Is Apple Working on a HomeBased Media Server httptcojD2UremJUm via wallstCS AAPL mediaserver patent,19.033571,0.0,0.0,1.0,0.0,1
144,2014-01-10,AAPL iPhones 7th anniversary  the handset in numbers  httptcots0gltqfdh httptcoDof69LyOpJ,19.033571,0.0,0.0,1.0,0.0,1
145,2014-01-10,AAPL Apple Inc AAPL Apples A8  What It Will Be And Why It Matters httptcoteH7J03Wjl,19.033571,0.0258,0.0,0.927,0.073,2
146,2014-01-10,AAPL Samsung Galaxy S5 Spec News 2014 Will Apple Release A Larger Screen   Crossmap httptcoj1p3CYPUfG,19.033571,0.0,0.0,1.0,0.0,1
147,2014-01-10,RT CNNMoney Shoppers rush into Apples AAPL Hong Kong store drawn by its secondannual Asian Red Friday sale httptcoR7drf7qtGg,19.033571,0.0,0.0,1.0,0.0,1
148,2014-01-10,woh doctor YahooFinance Apple reports 1 billion app sales in December 10 billion for 2013 httptcoSXyXev1pjJ AAPL,19.033571,0.0,0.0,1.0,0.0,1
149,2014-01-10,Appeals Court Apples iPhone Does Not Infringe on Motorolas Patent httptcoPyX5kGNgah  AAPL GOOG,19.033571,0.0,0.0,1.0,0.0,1
150,2014-01-10,RT chessNwine NEW POST Stock Market Recap 010914 httptcoFWuKmcRxdu AAPL CMG FB iWM NFLX QQQ SPY TSLA,19.033571,0.0,0.0,1.0,0.0,1
151,2014-01-10,Pfizer hopes an iPad game can detect Alzheimers httptcoBwzEPY8ivi  PFE AAPL,19.033571,0.4215,0.0,0.781,0.219,2
152,2014-01-10,petenajarian PetesAssistant CNBCFastMoney AAPL trading at same multiple as MSFT  this is purely stupid,19.033571,-0.5709,0.221,0.779,0.0,0
153,2014-01-10,AAPL Apple Must Fix These Issues to Reach New Highs  DailyFinance httptcoM7pb3E7GfR,19.033571,0.0258,0.0,0.909,0.091,2
154,2014-01-10,CNNMONEYShoppers rush into Apples AAPL Hong Kong store drawn by its secondannual Asian Red Friday sale httptco2u1jD5wCP2,19.033571,0.0,0.0,1.0,0.0,1
155,2014-01-11,AAPL Apple to open new store in Brisbane CBD  Courier Mail httptco50ywv65Cfj,19.083393,0.0,0.0,1.0,0.0,1
156,2014-01-11,AAPL Apples iBeacon Technology Brings New Possibilities for LocationBased Gaming  Mac Rumors httptco2VzQgfyLgH,19.083393,0.0,0.0,1.0,0.0,1
157,2014-01-11,AAPL  Chinese Smartphone Insurgents Take Aim at Global Share httptco4B6yzr6gRI,19.083393,0.296,0.0,0.804,0.196,2
158,2014-01-11,RT BenedictEvans A candidate for best financial news headline of 2013 httptcogqmE8Dp0B5 AAPL,19.083393,0.6369,0.0,0.724,0.276,2
159,2014-01-11,AAPL   Ford Steps on the Gas gt httptcot5TYv9SeLL stock stocks stockaction,19.083393,0.2732,0.0,0.826,0.174,2
160,2014-01-11,AAPL To anyone with a long enough time horizon I would recommend buying the fear on the next big dip Stock about to start growing in Q2,19.083393,-0.0,0.109,0.748,0.143,1
161,2014-01-12,AAPL Whats Behind The Swift Rise In Apple Stock httptcoguXNuesHHy,19.083393,0.2023,0.0,0.833,0.167,2
162,2014-01-12,RT SupremeSees OXBT Monday Gapper httptcoOnrTjg9Zqd PHOT FNMA TWTR GOOG AAPL FB daytrading pennystocks daytradealerts tr,19.083393,0.0,0.0,1.0,0.0,1
163,2014-01-12,Apple Inc AAPL Whats Behind The Swift Rise In Apple Stock AAPL httptcopeS16KKOIO,19.083393,0.2023,0.0,0.87,0.13,2
164,2014-01-12,Disruptive innovation AAPL HPQ GRMN httptcohviYuNtGqx,19.083393,0.0772,0.258,0.449,0.292,2
165,2014-01-13,Aaplpain AAPL catching a bid on a Monday I am hugely surprised s,19.133215,0.2944,0.0,0.785,0.215,2
166,2014-01-13,AAPL My 2 Bits On 64Bits And Apples Strong Q1 Outlook  SeekingAlpha httptcozvZToYOACH,19.133215,0.5106,0.0,0.769,0.231,2
167,2014-01-13,AAPL DIALOG SEMICON ORD DLGNF Apple Cirrus Logic rally after iPhoneiPad   Seeking Alpha httptcoCUbCUfSH9I,19.133215,0.0,0.0,1.0,0.0,1
168,2014-01-13,RT stockgarage Watchlist for Monday httptcoYVDt268G2x  ELTP TSLA AAPL FNMA MUX CTSO,19.133215,0.0,0.0,1.0,0.0,1
169,2014-01-13,AAPL Three things the press gets wrong about Apple in China httptcoddHtiPYhgE,19.133215,-0.4767,0.22,0.78,0.0,0
170,2014-01-13,AAPL TWTR FlightToSafety httptco8oo8ZKUJdn,19.133215,0.0,0.0,1.0,0.0,1
171,2014-01-13,Will AAPL hold 534 here,19.133215,0.0,0.0,1.0,0.0,1
172,2014-01-13,NQf is down 50 handles with AAPL green,19.133215,0.0,0.0,1.0,0.0,1
173,2014-01-13,AAPL GOOG NFLX SHLD FB ISRGNRP 1660  6Put 16 feb,19.133215,0.0,0.0,1.0,0.0,1
174,2014-01-13,Great question Missed opportunity MT om Why did AAPL not try and bring tfadell home  Anyone got theories nest GOOG,19.133215,0.6908,0.084,0.651,0.264,2
175,2014-01-13,Short side GCF AAPL all miners,19.133215,0.0,0.0,1.0,0.0,1
176,2014-01-13,AAPL chart by FibLine httptco5O7JfxOSvD AAPL,19.133215,0.0,0.0,1.0,0.0,1
177,2014-01-13,Google Set To Challenge Microsoft And Apple In The Connected Car Market GOOG  AAPL MSFT httptco69bOo5V2iz,19.133215,0.0772,0.0,0.92,0.08,2
